    66    0.17033E+04    0.24169E+00   -0.36570E+01    0.52866E+07    0.93209E+04
    67    0.17260E+04    0.25246E+00   -0.40225E+01    0.52571E+07    0.91516E+04
    68    0.17492E+04    0.26348E+00   -0.43964E+01    0.52274E+07    0.89853E+04
    69    0.17725E+04    0.27469E+00   -0.47775E+01    0.51977E+07    0.88222E+04
    70    0.17962E+04    0.28615E+00   -0.51682E+01    0.51678E+07    0.86624E+04
    71    0.18199E+04    0.29783E+00   -0.55713E+01    0.51378E+07    0.85060E+04
    72    0.18438E+04    0.30971E+00   -0.59879E+01    0.51077E+07    0.83534E+04
    73    0.18679E+04    0.32176E+00   -0.64183E+01    0.50776E+07    0.82050E+04
    74    0.18921E+04    0.33397E+00   -0.68612E+01    0.50474E+07    0.80613E+04
    75    0.19166E+04    0.34635E+00   -0.73150E+01    0.50171E+07    0.79227E+04
    76    0.19415E+04    0.35890E+00   -0.77786E+01    0.49867E+07    0.77896E+04
    77    0.19666E+04    0.37162E+00   -0.82519E+01    0.49562E+07    0.76615E+04
    78    0.19921E+04    0.38454E+00   -0.87365E+01    0.49258E+07    0.75375E+04
    79    0.20177E+04    0.39761E+00   -0.92287E+01    0.48953E+07    0.74172E+04
    80    0.20436E+04    0.41082E+00   -0.97300E+01    0.48648E+07    0.72996E+04
    81    0.20696E+04    0.42414E+00   -0.10241E+02    0.48344E+07    0.71843E+04
    82    0.20959E+04    0.43759E+00   -0.10761E+02    0.48040E+07    0.70710E+04
    83    0.21223E+04    0.45115E+00   -0.11290E+02    0.47736E+07    0.69593E+04
    84    0.21490E+04    0.46480E+00   -0.11825E+02    0.47433E+07    0.68490E+04
    85    0.21758E+04    0.47852E+00   -0.12369E+02    0.47131E+07    0.67400E+04
    86    0.22027E+04    0.49232E+00   -0.12920E+02    0.46829E+07    0.66320E+04
    87    0.22301E+04    0.50618E+00   -0.13477E+02    0.46529E+07    0.65252E+04
    88    0.22575E+04    0.52012E+00   -0.14041E+02    0.46230E+07    0.64198E+04
    89    0.22852E+04    0.53411E+00   -0.14613E+02    0.45931E+07    0.63161E+04
    90    0.23131E+04    0.54814E+00   -0.15189E+02    0.45634E+07    0.62143E+04
    91    0.23411E+04    0.56219E+00   -0.15771E+02    0.45338E+07    0.61145E+04
    92    0.23693E+04    0.57625E+00   -0.16358E+02    0.45043E+07    0.60169E+04
    93    0.23979E+04    0.59031E+00   -0.16950E+02    0.44750E+07    0.59212E+04
    94    0.24265E+04    0.60434E+00   -0.17545E+02    0.44458E+07    0.58275E+04
    95    0.24553E+04    0.61835E+00   -0.18145E+02    0.44167E+07    0.57357E+04
    96    0.24842E+04    0.63231E+00   -0.18749E+02    0.43878E+07    0.56458E+04
    97    0.25135E+04    0.64622E+00   -0.19356E+02    0.43590E+07    0.55577E+04
    98    0.25429E+04    0.66006E+00   -0.19963E+02    0.43303E+07    0.54713E+04
    99    0.25724E+04    0.67381E+00   -0.20575E+02    0.43018E+07    0.53865E+04
   100    0.26023E+04    0.68747E+00   -0.21187E+02    0.42734E+07    0.53035E+04
   101    0.26322E+04    0.70110E+00   -0.21802E+02    0.42452E+07    0.52219E+04
   102    0.26626E+04    0.71454E+00   -0.22417E+02    0.42172E+07    0.51419E+04
   103    0.26930E+04    0.72789E+00   -0.23034E+02    0.41893E+07    0.50634E+04
   104    0.27236E+04    0.74113E+00   -0.23650E+02    0.41615E+07    0.49863E+04
   105    0.27543E+04    0.75419E+00   -0.24266E+02    0.41340E+07    0.49105E+04
   106    0.27852E+04    0.76716E+00   -0.24882E+02    0.41066E+07    0.48360E+04
   107    0.28161E+04    0.77989E+00   -0.25496E+02    0.40793E+07    0.47627E+04
   108    0.28473E+04    0.79244E+00   -0.26109E+02    0.40523E+07    0.46907E+04
   109    0.28787E+04    0.80476E+00   -0.26720E+02    0.40254E+07    0.46197E+04
