    48    0.13259E+04    0.90519E-01    0.00000E+00    0.80942E+00    0.12833E-06    0.79848E-03   -0.10622E-06
    49    0.13451E+04    0.96710E-01    0.00000E+00    0.66873E+00    0.12778E-06    0.78118E-03   -0.65382E-07
    50    0.13647E+04    0.10310E+00    0.00000E+00    0.51977E+00    0.12721E-06    0.76457E-03   -0.56430E-07
    51    0.13845E+04    0.10966E+00    0.00000E+00    0.35776E+00    0.12663E-06    0.74873E-03   -0.92469E-07
    52    0.14047E+04    0.11648E+00    0.00000E+00    0.17837E+00    0.12603E-06    0.73357E-03   -0.15729E-06
    53    0.14249E+04    0.12371E+00    0.00000E+00   -0.20766E-01    0.12542E-06    0.71893E-03   -0.22740E-06
    54    0.14450E+04    0.13134E+00    0.00000E+00   -0.23402E+00    0.12480E-06    0.70468E-03   -0.27937E-06
    55    0.14653E+04    0.13935E+00    0.00000E+00   -0.45566E+00    0.12417E-06    0.69067E-03   -0.28981E-06
    56    0.14859E+04    0.14760E+00    0.00000E+00   -0.68645E+00    0.12353E-06    0.67679E-03   -0.24436E-06
    57    0.15067E+04    0.15598E+00    0.00000E+00   -0.92679E+00    0.12288E-06    0.66309E-03   -0.16467E-06
    58    0.15278E+04    0.16450E+00    0.00000E+00   -0.11782E+01    0.12222E-06    0.64966E-03   -0.81321E-07
    59    0.15491E+04    0.17318E+00    0.00000E+00   -0.14423E+01    0.12155E-06    0.63659E-03   -0.24860E-07
    60    0.15705E+04    0.18209E+00    0.00000E+00   -0.17191E+01    0.12088E-06    0.62395E-03   -0.25766E-07
    61    0.15924E+04    0.19132E+00    0.00000E+00   -0.20085E+01    0.12020E-06    0.61182E-03   -0.10417E-06
    62    0.16142E+04    0.20086E+00    0.00000E+00   -0.23110E+01    0.11951E-06    0.60014E-03   -0.23895E-06
    63    0.16361E+04    0.21067E+00    0.00000E+00   -0.26269E+01    0.11882E-06    0.58886E-03   -0.39875E-06
    64    0.16584E+04    0.22076E+00    0.00000E+00   -0.29569E+01    0.11812E-06    0.57790E-03   -0.55223E-06
    65    0.16807E+04    0.23113E+00    0.00000E+00   -0.33010E+01    0.11743E-06    0.56721E-03   -0.66812E-06
    66    0.17033E+04    0.24169E+00    0.00000E+00   -0.36570E+01    0.11672E-06    0.55671E-03   -0.72279E-06
    67    0.17260E+04    0.25246E+00    0.00000E+00   -0.40225E+01    0.11602E-06    0.54641E-03   -0.72306E-06
    68    0.17492E+04    0.26348E+00    0.00000E+00   -0.43964E+01    0.11532E-06    0.53631E-03   -0.68332E-06
    69    0.17725E+04    0.27469E+00    0.00000E+00   -0.47775E+01    0.11461E-06    0.52641E-03   -0.61796E-06
    70    0.17962E+04    0.28615E+00    0.00000E+00   -0.51682E+01    0.11391E-06    0.51672E-03   -0.54135E-06
    71    0.18199E+04    0.29783E+00    0.00000E+00   -0.55713E+01    0.11320E-06    0.50724E-03   -0.46606E-06
    72    0.18438E+04    0.30971E+00    0.00000E+00   -0.59879E+01    0.11250E-06    0.49799E-03   -0.39758E-06
    73    0.18679E+04    0.32176E+00    0.00000E+00   -0.64183E+01    0.11179E-06    0.48901E-03   -0.33963E-06
    74    0.18921E+04    0.33397E+00    0.00000E+00   -0.68612E+01    0.11108E-06    0.48031E-03   -0.29593E-06
    75    0.19166E+04    0.34635E+00    0.00000E+00   -0.73150E+01    0.11038E-06    0.47193E-03   -0.27019E-06
    76    0.19415E+04    0.35890E+00    0.00000E+00   -0.77786E+01    0.10967E-06    0.46388E-03   -0.26376E-06
    77    0.19666E+04    0.37162E+00    0.00000E+00   -0.82519E+01    0.10897E-06    0.45613E-03   -0.26864E-06
    78    0.19921E+04    0.38454E+00    0.00000E+00   -0.87365E+01    0.10826E-06    0.44864E-03   -0.27447E-06
    79    0.20177E+04    0.39761E+00    0.00000E+00   -0.92287E+01    0.10756E-06    0.44137E-03   -0.27090E-06
    80    0.20436E+04    0.41082E+00    0.00000E+00   -0.97300E+01    0.10685E-06    0.43428E-03   -0.24760E-06
    81    0.20696E+04    0.42414E+00    0.00000E+00   -0.10241E+02    0.10615E-06    0.42732E-03   -0.19751E-06
    82    0.20959E+04    0.43759E+00    0.00000E+00   -0.10761E+02    0.10545E-06    0.42048E-03   -0.12658E-06
    83    0.21223E+04    0.45115E+00    0.00000E+00   -0.11290E+02    0.10476E-06    0.41375E-03   -0.44043E-07
