    81    0.20714E+04    0.42532E+00    0.13516E-02   -0.10242E+02
    82    0.20977E+04    0.43879E+00    0.13854E-02   -0.10762E+02
    83    0.21241E+04    0.45237E+00    0.14197E-02   -0.11290E+02
    84    0.21508E+04    0.46604E+00    0.14544E-02   -0.11825E+02
    85    0.21776E+04    0.47978E+00    0.14895E-02   -0.12369E+02
    86    0.22046E+04    0.49361E+00    0.15251E-02   -0.12919E+02
    87    0.22320E+04    0.50749E+00    0.15611E-02   -0.13476E+02
    88    0.22594E+04    0.52145E+00    0.15976E-02   -0.14040E+02
    89    0.22871E+04    0.53547E+00    0.16346E-02   -0.14611E+02
    90    0.23150E+04    0.54951E+00    0.16720E-02   -0.15187E+02
    91    0.23431E+04    0.56358E+00    0.17098E-02   -0.15768E+02
    92    0.23714E+04    0.57766E+00    0.17482E-02   -0.16354E+02
    93    0.23999E+04    0.59175E+00    0.17870E-02   -0.16945E+02
    94    0.24285E+04    0.60580E+00    0.18262E-02   -0.17540E+02
    95    0.24574E+04    0.61983E+00    0.18660E-02   -0.18139E+02
    96    0.24863E+04    0.63381E+00    0.19062E-02   -0.18742E+02
    97    0.25156E+04    0.64774E+00    0.19469E-02   -0.19348E+02
    98    0.25451E+04    0.66161E+00    0.19881E-02   -0.19955E+02
    99    0.25746E+04    0.67538E+00    0.20298E-02   -0.20566E+02
   100    0.26044E+04    0.68906E+00    0.20719E-02   -0.21177E+02
   101    0.26344E+04    0.70271E+00    0.21145E-02   -0.21791E+02
   102    0.26648E+04    0.71618E+00    0.21577E-02   -0.22405E+02
   103    0.26952E+04    0.72954E+00    0.22013E-02   -0.23021E+02
   104    0.27258E+04    0.74281E+00    0.22454E-02   -0.23635E+02
   105    0.27565E+04    0.75590E+00    0.22900E-02   -0.24250E+02
   106    0.27874E+04    0.76889E+00    0.23351E-02   -0.24865E+02
   107    0.28183E+04    0.78164E+00    0.23808E-02   -0.25478E+02
   108    0.28495E+04    0.79422E+00    0.24269E-02   -0.26089E+02
   109    0.28809E+04    0.80655E+00    0.24735E-02   -0.26699E+02
   110    0.29123E+04    0.81865E+00    0.25207E-02   -0.27305E+02
   111    0.29439E+04    0.83059E+00    0.25683E-02   -0.27909E+02
   112    0.29757E+04    0.84229E+00    0.26165E-02   -0.28510E+02
   113    0.30076E+04    0.85376E+00    0.26652E-02   -0.29107E+02
   114    0.30397E+04    0.86491E+00    0.27144E-02   -0.29699E+02
   115    0.30719E+04    0.87590E+00    0.27642E-02   -0.30285E+02
   116    0.31042E+04    0.88651E+00    0.28144E-02   -0.30867E+02
   117    0.31367E+04    0.89681E+00    0.28653E-02   -0.31441E+02
   118    0.31694E+04    0.90695E+00    0.29166E-02   -0.32010E+02
   119    0.32021E+04    0.91678E+00    0.29685E-02   -0.32571E+02
   120    0.32349E+04    0.92615E+00    0.30210E-02   -0.33124E+02
   121    0.32677E+04    0.93536E+00    0.30740E-02   -0.33669E+02
   122    0.33006E+04    0.94411E+00    0.31275E-02   -0.34205E+02
   123    0.33336E+04    0.95248E+00    0.31817E-02   -0.34733E+02
   124    0.33666E+04    0.96054E+00    0.32364E-02   -0.35249E+02
   125    0.33997E+04    0.96822E+00    0.32916E-02   -0.35756E+02
   126    0.34328E+04    0.97560E+00    0.33475E-02   -0.36253E+02
   127    0.34659E+04    0.98252E+00    0.34039E-02   -0.36739E+02
   128    0.34989E+04    0.98913E+00    0.34609E-02   -0.37213E+02
