    38    0.11421E+04    0.17008E+01    0.25971E-04    0.17008E+01    0.41732E-01   -0.22376E-07    0.25971E-04   -0.22376E-07    0.89489E-10
    39    0.11598E+04    0.16557E+01    0.24709E-04    0.16557E+01    0.45513E-01   -0.14310E-07    0.24709E-04   -0.14310E-07    0.84825E-10
    40    0.11777E+04    0.16023E+01    0.23538E-04    0.16023E+01    0.49528E-01   -0.75870E-08    0.23538E-04   -0.75870E-08    0.80486E-10
    41    0.11958E+04    0.15401E+01    0.22449E-04    0.15401E+01    0.53791E-01   -0.38086E-08    0.22449E-04   -0.38086E-08    0.76439E-10
    42    0.12139E+04    0.14684E+01    0.21436E-04    0.14684E+01    0.58307E-01   -0.25568E-08    0.21436E-04   -0.25568E-08    0.72662E-10
    43    0.12322E+04    0.13860E+01    0.20488E-04    0.13860E+01    0.63077E-01   -0.29079E-08    0.20488E-04   -0.29079E-08    0.69135E-10
    44    0.12504E+04    0.12930E+01    0.19597E-04    0.12930E+01    0.68089E-01   -0.39382E-08    0.19597E-04   -0.39382E-08    0.65836E-10
    45    0.12690E+04    0.11894E+01    0.18754E-04    0.11894E+01    0.73339E-01   -0.47240E-08    0.18754E-04   -0.47240E-08    0.62747E-10
    46    0.12879E+04    0.10733E+01    0.17952E-04    0.10733E+01    0.78827E-01   -0.45694E-08    0.17952E-04   -0.45694E-08    0.59846E-10
    47    0.13069E+04    0.94538E+00    0.17189E-04    0.94538E+00    0.84552E-01   -0.36891E-08    0.17189E-04   -0.36891E-08    0.57122E-10
    48    0.13259E+04    0.80942E+00    0.16466E-04    0.80942E+00    0.90519E-01   -0.25254E-08    0.16466E-04   -0.25254E-08    0.54562E-10
    49    0.13451E+04    0.66873E+00    0.15783E-04    0.66873E+00    0.96710E-01   -0.15207E-08    0.15783E-04   -0.15207E-08    0.52154E-10
    50    0.13647E+04    0.51977E+00    0.15141E-04    0.51977E+00    0.10310E+00   -0.11175E-08    0.15141E-04   -0.11175E-08    0.49886E-10
    51    0.13845E+04    0.35776E+00    0.14538E-04    0.35776E+00    0.10966E+00   -0.16109E-08    0.14538E-04   -0.16109E-08    0.47747E-10
    52    0.14047E+04    0.17837E+00    0.13972E-04    0.17837E+00    0.11648E+00   -0.27081E-08    0.13972E-04   -0.27081E-08    0.45728E-10
    53    0.14249E+04   -0.20766E-01    0.13437E-04   -0.20766E-01    0.12371E+00   -0.39691E-08    0.13437E-04   -0.39691E-08    0.43821E-10
    54    0.14450E+04   -0.23402E+00    0.12930E-04   -0.23402E+00    0.13134E+00   -0.49537E-08    0.12930E-04   -0.49537E-08    0.42019E-10
    55    0.14653E+04   -0.45566E+00    0.12445E-04   -0.45566E+00    0.13935E+00   -0.52220E-08    0.12445E-04   -0.52220E-08    0.40314E-10
    56    0.14859E+04   -0.68645E+00    0.11980E-04   -0.68645E+00    0.14760E+00   -0.44940E-08    0.11980E-04   -0.44940E-08    0.38698E-10
    57    0.15067E+04   -0.92679E+00    0.11533E-04   -0.92679E+00    0.15598E+00   -0.31300E-08    0.11533E-04   -0.31300E-08    0.37167E-10
    58    0.15278E+04   -0.11782E+01    0.11107E-04   -0.11782E+01    0.16450E+00   -0.16504E-08    0.11107E-04   -0.16504E-08    0.35715E-10
    59    0.15491E+04   -0.14423E+01    0.10700E-04   -0.14423E+01    0.17318E+00   -0.57557E-09    0.10700E-04   -0.57557E-09    0.34336E-10
    60    0.15705E+04   -0.17191E+01    0.10314E-04   -0.17191E+01    0.18209E+00   -0.42590E-09    0.10314E-04   -0.42590E-09    0.33027E-10
    61    0.15924E+04   -0.20085E+01    0.99482E-05   -0.20085E+01    0.19132E+00   -0.15492E-08    0.99482E-05   -0.15492E-08    0.31781E-10
    62    0.16142E+04   -0.23110E+01    0.96020E-05   -0.23110E+01    0.20086E+00   -0.36032E-08    0.96020E-05   -0.36032E-08    0.30596E-10
    63    0.16361E+04   -0.26269E+01    0.92731E-05   -0.26269E+01    0.21067E+00   -0.60730E-08    0.92731E-05   -0.60730E-08    0.29469E-10
    64    0.16584E+04   -0.29569E+01    0.89597E-05   -0.29569E+01    0.22076E+00   -0.84438E-08    0.89597E-05   -0.84438E-08    0.28395E-10
    65    0.16807E+04   -0.33010E+01    0.86599E-05   -0.33010E+01    0.23113E+00   -0.10201E-07    0.86599E-05   -0.10201E-07    0.27372E-10
    66    0.17033E+04   -0.36570E+01    0.83720E-05   -0.36570E+01    0.24169E+00   -0.10956E-07    0.83720E-05   -0.10956E-07    0.26396E-10
    67    0.17260E+04   -0.40225E+01    0.80954E-05   -0.40225E+01    0.25246E+00   -0.10832E-07    0.80954E-05   -0.10832E-07    0.25466E-10
    68    0.17492E+04   -0.43964E+01    0.78297E-05   -0.43964E+01    0.26348E+00   -0.10078E-07    0.78297E-05   -0.10078E-07    0.24577E-10
